canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
jimmy-carter-presidential-library-atlanta-georgia-national-s-271a5815,unpublished,3,3,carter,container; source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Staff Material > North/South",frus1977-80v12; frus1977-80v19; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-plains-fil-f7e3a03f,unpublished,3,3,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Plains File > President’s Personal Foreign Affairs File",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v15
jimmy-carter-presidential-library-atlanta-georgia-president-4018f323,unpublished,3,3,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > President’s Daily Diary",frus1977-80v08; frus1977-80v11p1; frus1977-80v28
library-of-congress-washington-d-c-63e32dd4,unpublished,3,3,carter; reagan,container,"Library of Congress, Washington, D.C.",frus1977-80v09; frus1977-80v09Ed2; frus1981-88v05
library-of-congress-washington-d-c-manuscript-division-3ddc745c,unpublished,3,3,reagan,container; source,"Library of Congress, Washington, D.C. > Manuscript Division",frus1981-88v01; frus1981-88v05; frus1981-88v38
national-archives-and-record-administration-college-park-mar-03096d39,unpublished,3,3,carter,container; source,"National Archives and Record Administration, College Park, Maryland > Record Group 59, Records of the Department of State",frus1977-80v06; frus1977-80v21; frus1977-80v26
national-archives-and-records-administration-college-park-ma-ba417f00,unpublished,3,3,carter,source,"National Archives and Records Administration, College Park, Maryland > Lot Files",frus1977-80v01; frus1977-80v09; frus1977-80v09Ed2
national-archives-and-records-administration-college-park-ma-26f3c320,unpublished,3,3,carter,container,"National Archives and Records Administration, College Park, Maryland > RG 59, General Records of the Department of State",frus1977-80v13; frus1977-80v16; frus1977-80v28
national-archives-and-records-administration-college-park-ma-6cdb7cd5,unpublished,3,3,carter,container; source,"National Archives and Records Administration, College Park, Maryland > RG 59, General Records of the Department of State > Central Foreign Policy File",frus1977-80v13; frus1977-80v16; frus1977-80v28
national-security-council-washington-d-c-218afb80,unpublished,3,3,carter,container,"National Security Council, Washington, D.C.",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v21
quandt-william-b-camp-david-peacemaking-and-politics-washing-67beef22,published,3,3,carter,source,"Quandt, William B. Camp David: Peacemaking and Politics. Washington: The Brookings Institution, 1986.",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v24
